Entry	Status	Protein names	Gene names	Length
Q811U4	reviewed	Mitofusin-1 (EC 3.6.5.-) (Transmembrane GTPase MFN1)	Mfn1	741
Q9D4W2	reviewed	Protein MFI (Mitochondrial fission factor interactor) (Protein C11orf65 homolog)	Mfi	315
Q3V1N1	reviewed	Malignant fibrous histiocytoma-amplified sequence 1 homolog	Mfhas1	1048
P21956	reviewed	Lactadherin (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) (Sperm surface protein SP47) (MP47)	Mfge8	463
Q6PCP5	reviewed	Mitochondrial fission factor	Mff	291
Q9QZJ6	reviewed	Microfibrillar-associated protein 5 (MFAP-5) (Microfibril-associated glycoprotein 2) (MAGP-2)	Mfap5 Magp2	164
Q9D1H9	reviewed	Microfibril-associated glycoprotein 4	Mfap4	257
Q9D3X9	reviewed	Microfibrillar-associated protein 3-like	Mfap3l Kiaa0626	409
Q922T2	reviewed	Microfibril-associated glycoprotein 3	Mfap3	349
P55002	reviewed	Microfibrillar-associated protein 2 (MFAP-2) (Microfibril-associated glycoprotein 1) (MAGP) (MAGP-1)	Mfap2 Magp Magp1	183
C0HKD9	reviewed	Microfibrillar-associated protein 1B (Spliceosome B complex protein MFAP1B)	Mfap1b	439
C0HKD8	reviewed	Microfibrillar-associated protein 1A (Spliceosome B complex protein MFAP1A)	Mfap1a	439
Q3UE17	reviewed	RNA-binding protein MEX3D (RING finger and KH domain-containing protein 1)	Mex3d Rkhd1	643
Q05A36	reviewed	RNA-binding E3 ubiquitin-protein ligase MEX3C (EC 2.3.2.27) (RING finger and KH domain-containing protein 2) (RING-type E3 ubiquitin transferase MEX3C)	Mex3c Rkhd2	652
Q69Z36	reviewed	RNA-binding protein MEX3B (RING finger and KH domain-containing protein 3)	Mex3b Kiaa2009 Rkhd3	601
Q9EPL4	reviewed	Methyltransferase-like protein 9 (DORA reverse strand protein) (DREV)	Mettl9 drev MNCb-5680	318
A2AUU0	reviewed	mRNA N(3)-methylcytidine methyltransferase METTL8 (EC 2.1.1.-) (Methyltransferase-like protein 8) (Tension-induced/inhibited protein)	Mettl8 Tip	281
Q9DD20	reviewed	Methyltransferase-like protein 7B (EC 2.1.1.-)	Mettl7b	244
Q8BVH9	reviewed	tRNA N(3)-methylcytidine methyltransferase METTL6 (EC 2.1.1.-) (Methyltransferase-like protein 6)	Mettl6	282
Q8K1A0	reviewed	rRNA N6-adenosine-methyltransferase METTL5 (EC 2.1.1.-) (Methyltransferase-like protein 5)	Mettl5	209
Q3U034	reviewed	N(6)-adenine-specific methyltransferase METTL4 (Methyltransferase-like protein 4) (N(6)-adenine-specific DNA methyltransferase METTL4) (EC 2.1.1.72) (snRNA (2'-O-methyladenosine-N(6)-)-methyltransferase METTL4) (EC 2.1.1.-)	Mettl4	471
Q8C3P7	reviewed	N6-adenosine-methyltransferase subunit METTL3 (EC 2.1.1.348) (Methyltransferase-like protein 3) (N6-adenosine-methyltransferase 70 kDa subunit) (MT-A70)	Mettl3 Mta70	580
Q9DCS2	reviewed	Methyltransferase-like 26	Mettl26	204
Q6NXH8	reviewed	Methyltransferase-like protein 25 (EC 2.1.1.-)	Mettl25	597
Q8CCB5	reviewed	Methyltransferase-like protein 24 (EC 2.1.1.-)	Mettl24	363
A2AA28	reviewed	Methyltransferase-like protein 23 (EC 2.1.1.-)	Mettl23	253
Q8R1C6	reviewed	Methyltransferase-like protein 22 (EC 2.1.1.-)	Mettl22	393
Q8CDZ2	reviewed	Protein-lysine methyltransferase METTL21E (EC 2.1.1.-) (Methyltransferase-like protein 21E)	Mettl21e	244
Q8BLU2	reviewed	Protein-lysine methyltransferase METTL21C (EC 2.1.1.-) (Methyltransferase-like protein 21C)	Mettl21c	248
Q9CQL0	reviewed	Protein N-lysine methyltransferase METTL21A (EC 2.1.1.-) (Methyltransferase-like protein 21A)	Mettl21A Fam119a	218
Q80ZM3	reviewed	Electron transfer flavoprotein beta subunit lysine methyltransferase (EC 2.1.1.-) (ETFB lysine methyltransferase) (ETFB-KMT) (Protein N-lysine methyltransferase METTL20)	Mettl20	255
Q8BMK1	reviewed	tRNA N(3)-methylcytidine methyltransferase METTL2 (EC 2.1.1.-) (Methyltransferase-like protein 2)	Mettl2 D11Ertd768e	389
Q9CZ09	reviewed	Histidine protein methyltransferase 1 homolog (Methyltransferase-like protein 18) (EC 2.1.1.-)	Mettl18	362
Q3U2U7	reviewed	Methyltransferase-like protein 17, mitochondrial (EC 2.1.1.-)	Mettl17 D14Ertd209e	461
Q9CQG2	reviewed	RNA N6-adenosine-methyltransferase METTL16 (Methyltransferase 10 domain-containing protein) (Methyltransferase-like protein 16) (N6-adenosine-methyltransferase METTL16) (EC 2.1.1.348) (U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase) (EC 2.1.1.346)	Mettl16 Mett10d	553
Q9DCL4	reviewed	12S rRNA N4-methylcytidine methyltransferase (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)	Mettl15 Mett5d1	406
Q3UIK4	reviewed	N6-adenosine-methyltransferase non-catalytic subunit (Methyltransferase-like protein 14)	Mettl14 Kiaa1627	456
B2RXM4	reviewed	Alpha N-terminal protein methyltransferase 1B (EC 2.1.1.299) (Methyltransferase-like protein 11B) (X-Pro-Lys N-terminal protein methyltransferase 1B) (NTM1B)	Mettl11b	283
Q9Z120	reviewed	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (Methyltransferase-like protein 1) (mRNA (guanine-N(7)-)-methyltransferase) (EC 2.1.1.-) (miRNA (guanine-N(7)-)-methyltransferase) (EC 2.1.1.-) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	Mettl1	268
Q8VE43	reviewed	Meteorin-like protein (Subfatin)	Metrnl	311
Q8C1Q4	reviewed	Meteorin (Hypoxia/reoxygenation regulatory factor)	Metrn Hyrac	291
O08663	reviewed	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Initiation factor 2-associated 67 kDa glycoprotein) (p67) (p67eIF2) (Peptidase M)	Metap2 Mnpep P67eif2	478
Q9CPW9	reviewed	Methionine aminopeptidase 1D, mitochondrial (MAP 1D) (MetAP 1D) (EC 3.4.11.18) (Methionyl aminopeptidase type 1D, mitochondrial) (Peptidase M 1D)	Metap1d Map1d Metapl1 Mnpepl	335
Q8BP48	reviewed	Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M 1)	Metap1	386
P16056	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	Met	1379
Q07646	reviewed	Mesoderm-specific transcript protein (EC 3.-.-.-) (Paternally-expressed gene 1 protein)	Mest Peg1 121a	335
O08574	reviewed	Mesoderm posterior protein 2	Mesp2	370
P97309	reviewed	Mesoderm posterior protein 1	Mesp1	243
Q9ERE7	reviewed	LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein)	Mesd Mesdc2	224
Q60805	reviewed	Tyrosine-protein kinase Mer (EC 2.7.10.1) (Proto-oncogene c-Mer) (Receptor tyrosine kinase MerTK)	Mertk Mer	994
Q8K4L6	reviewed	Matrix extracellular phosphoglycoprotein (Osteoblast/osteocyte factor 45) (OF45) (Osteoregulin)	Mepe	441
Q8K3A9	reviewed	7SK snRNA methylphosphate capping enzyme (MePCE) (EC 2.1.1.-)	Mepce Bcdin3 Bipl1 D5Wsu46e	666
Q61847	reviewed	Meprin A subunit beta (EC 3.4.24.63) (Endopeptidase-2) (Meprin B)	Mep1b Mep-1b	704
P28825	reviewed	Meprin A subunit alpha (EC 3.4.24.18) (Endopeptidase-2) (MEP-1)	Mep1a	747
P32443	reviewed	Homeobox protein MOX-2 (Mesenchyme homeobox 2)	Meox2 Gax Mox-2 Mox2	303
P32442	reviewed	Homeobox protein MOX-1 (Mesenchyme homeobox 1)	Meox1 Mox-1 Mox1	253
Q569E4	reviewed	Protein MENT (Methylated in normal thymocytes protein)	Ment Gm128	350
O88559	reviewed	Menin	Men1	611
Q91VH6	reviewed	Protein MEMO1 (Mediator of ErbB2-driven cell motility 1) (Memo-1)	Memo1	297
Q9R0R1	reviewed	Melanotransferrin (Membrane-bound transferrin-like protein p97) (MTf) (CD antigen CD228)	Meltf Mfi2 Mtf	738
Q61846	reviewed	Maternal embryonic leucine zipper kinase (EC 2.7.11.1) (Protein kinase PK38) (mPK38) (Tyrosine-protein kinase MELK) (EC 2.7.10.2)	Melk Kiaa0175 Pk38	643
P97368	reviewed	Homeobox protein Meis3 (Meis1-related protein 2)	Meis3 Mrg2	378
P97367	reviewed	Homeobox protein Meis2 (Meis1-related protein 1)	Meis2 Mrg1 Stra10	477
Q60954	reviewed	Homeobox protein Meis1 (Myeloid ecotropic viral integration site 1)	Meis1	390
A2AG06	reviewed	Meiosis-specific coiled-coil domain-containing protein MEIOC (Meiosis-specific with coiled-coil domain protein)	Meioc Gm1564	965
Q9D513	reviewed	Meiosis-specific with OB domain-containing protein (EC 3.1.-.-) (Protein expressed in male leptotene and zygotene spermatocytes 675) (MLZ-675)	Meiob	470
Q5F2C3	reviewed	Meiosis-specific kinetochore protein	Meikin	434
Q61845	reviewed	Meiosis-expressed gene 1 protein (Protein expressed in male leptotene and zygotene spermatocytes 278) (MLZ-278)	Meig1 Meg1	88
Q8BRM6	reviewed	Meiosis-specific protein MEI4	Mei4	389
Q9D4I2	reviewed	Meiosis inhibitor protein 1 (Meiosis defective protein 1)	Mei1	1268
Q8BH27	reviewed	Multiple epidermal growth factor-like domains protein 9 (Multiple EGF-like domains protein 9) (Epidermal growth factor-like protein 5) (EGF-like protein 5)	Megf9 Egfl5 Kiaa0818	600
P60882	reviewed	Multiple epidermal growth factor-like domains protein 8 (Multiple EGF-like domains protein 8) (Epidermal growth factor-like protein 4) (EGF-like protein 4)	Megf8 Egfl4	2789
Q80V70	reviewed	Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3)	Megf6 Egfl3	1572
Q80T91	reviewed	Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)	Megf11 Kiaa1781	1091
Q6DIB5	reviewed	Multiple epidermal growth factor-like domains protein 10 (Multiple EGF-like domains protein 10)	Megf10	1147
Q9JJ26	reviewed	Pyrin (Marenostrin)	Mefv	767
Q63943	reviewed	Myocyte-specific enhancer factor 2D	Mef2d	514
Q8CFN5	reviewed	Myocyte-specific enhancer factor 2C (Myocyte enhancer factor 2C)	Mef2c	474
O55087	reviewed	Myocyte-specific enhancer factor 2B	Mef2b	349
Q60929	reviewed	Myocyte-specific enhancer factor 2A	Mef2a	498
Q14BA6	reviewed	Mesenteric estrogen-dependent adipogenesis protein (Activated in W/Wv mouse stomach 3) (mAWMS3) (Mesenteric estrogen-dependent adipose 4) (MEDA-4)	Medag Awms3 Meda4	303
Q8VCS6	reviewed	Mediator of RNA polymerase II transcription subunit 9 (Mediator complex subunit 9)	Med9 Med25	142
Q9D7W5	reviewed	Mediator of RNA polymerase II transcription subunit 8 (Activator-recruited cofactor 32 kDa component) (ARC32) (Mediator complex subunit 8)	Med8 MNCb-2386	268
Q9CZB6	reviewed	Mediator of RNA polymerase II transcription subunit 7 (Cofactor required for Sp1 transcriptional activation subunit 9) (CRSP complex subunit 9) (Mediator complex subunit 7)	Med7 Crsp9	233
Q921D4	reviewed	Mediator of RNA polymerase II transcription subunit 6 (Mediator complex subunit 6)	Med6	246
Q9CQA5	reviewed	Mediator of RNA polymerase II transcription subunit 4 (Mediator complex subunit 4)	Med4 Vdrip	270
Q9CXU1	reviewed	Mediator of RNA polymerase II transcription subunit 31 (Mediator complex subunit 31) (Mediator complex subunit SOH1)	Med31 Soh1	131
Q9CQI9	reviewed	Mediator of RNA polymerase II transcription subunit 30 (Mediator complex subunit 30) (Thyroid hormone receptor-associated protein 6) (Thyroid hormone receptor-associated protein complex 25 kDa component) (Trap25)	Med30 Thrap6 Trap25	178
Q9DB91	reviewed	Mediator of RNA polymerase II transcription subunit 29 (Intersex-like protein) (Mediator complex subunit 29)	Med29 Ixl	199
Q920D3	reviewed	Mediator of RNA polymerase II transcription subunit 28 (Mediator complex subunit 28)	Med28 Fksg20	178
Q9DB40	reviewed	Mediator of RNA polymerase II transcription subunit 27 (Cofactor required for Sp1 transcriptional activation subunit 8) (CRSP complex subunit 8) (Mediator complex subunit 27)	Med27 Crsp8	311
Q7TN02	reviewed	Mediator of RNA polymerase II transcription subunit 26 (Cofactor required for Sp1 transcriptional activation subunit 7) (CRSP complex subunit 7) (Mediator complex subunit 26)	Med26 Crsp7	588
Q8VCB2	reviewed	Mediator of RNA polymerase II transcription subunit 25 (Mediator complex subunit 25) (mMED25)	Med25	745
Q99K74	reviewed	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24) (Thyroid hormone receptor-associated protein 4) (Thyroid hormone receptor-associated protein complex 100 kDa component) (Trap100) (mTRAP100)	Med24 D11Ertd307e Thrap4 Trap100	987
Q80YQ2	reviewed	Mediator of RNA polymerase II transcription subunit 23 (Cofactor required for Sp1 transcriptional activation subunit 3) (CRSP complex subunit 3) (Mediator complex subunit 23) (Protein sur-2 homolog) (mSur-2)	Med23 Crsp3 Kiaa1216 Sur2	1367
Q62276	reviewed	Mediator of RNA polymerase II transcription subunit 22 (Mediator complex subunit 22) (Surfeit locus protein 5) (Surf-5)	Med22 Surf5	200
Q9CQ39	reviewed	Mediator of RNA polymerase II transcription subunit 21 (Mediator complex subunit 21) (RNA polymerase II holoenzyme component SRB7) (RNAPII complex component SRB7)	Med21 Srb7 Surb7	144
Q9R0X0	reviewed	Mediator of RNA polymerase II transcription subunit 20 (Mediator complex subunit 20) (TRF-proximal protein homolog)	Med20 Trfp	212
Q8C1S0	reviewed	Mediator of RNA polymerase II transcription subunit 19 (Mediator complex subunit 19)	Med19	244
Q9CZ82	reviewed	Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18)	Med18	208
Q8VCD5	reviewed	Mediator of RNA polymerase II transcription subunit 17 (Cofactor required for Sp1 transcriptional activation subunit 6) (CRSP complex subunit 6) (Mediator complex subunit 17) (Thyroid hormone receptor-associated protein complex 80 kDa component)	Med17 Crsp6 Trap80	649
Q6PGF3	reviewed	Mediator of RNA polymerase II transcription subunit 16 (Mediator complex subunit 16) (Thyroid hormone receptor-associated protein 5) (Thyroid hormone receptor-associated protein complex 95 kDa component) (Trap95) (Vitamin D3 receptor-interacting protein complex 92 kDa component) (DRIP92)	Med16 Thrap5	828
Q924H2	reviewed	Mediator of RNA polymerase II transcription subunit 15 (Mediator complex subunit 15) (Positive cofactor 2 glutamine/Q-rich-associated protein) (PC2 glutamine/Q-rich-associated protein) (mPcqap)	Med15 Pcqap	789
A2ABV5	reviewed	Mediator of RNA polymerase II transcription subunit 14 (Cofactor required for Sp1 transcriptional activation subunit 2) (CRSP complex subunit 2) (Mediator complex subunit 14) (Thyroid hormone receptor-associated protein complex 170 kDa component) (Trap170)	Med14 Crsp2 Gm641 Trap170	1459
Q6JPI3	reviewed	Mediator of RNA polymerase II transcription subunit 13-like (Mediator complex subunit 13-like) (Thyroid hormone receptor-associated protein 2) (Thyroid hormone receptor-associated protein complex 240 kDa component-like)	Med13l Kiaa1025 Thrap2 Trap240l	2207
Q5SWW4	reviewed	Mediator of RNA polymerase II transcription subunit 13 (Thyroid hormone receptor-associated protein 1) (Thyroid hormone receptor-associated protein complex 240 kDa component) (Trap240)	Med13 Kiaa0593 Thrap1 Trap240	2171
Q8BQM9	reviewed	Mediator of RNA polymerase II transcription subunit 12-like protein (Mediator complex subunit 12-like protein)	Med12l Kiaa3007	2157
A2AGH6	reviewed	Mediator of RNA polymerase II transcription subunit 12 (Mediator complex subunit 12) (OPA-containing protein) (Thyroid hormone receptor-associated protein complex 230 kDa component) (Trap230) (Trinucleotide repeat-containing gene 11 protein)	Med12 Kiaa0192 Mopa Tnrc11 Trap230	2190
Q9D8C6	reviewed	Mediator of RNA polymerase II transcription subunit 11 (Mediator complex subunit 11)	Med11	117
Q9CXU0	reviewed	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10)	Med10 D13Wsu50e	135
Q925J9	reviewed	Mediator of RNA polymerase II transcription subunit 1 (Mediator complex subunit 1) (Peroxisome proliferator-activated receptor-binding protein) (PBP) (PPAR-binding protein) (Thyroid hormone receptor-associated protein complex 220 kDa component) (Trap220) (Thyroid receptor-interacting protein 2) (TR-interacting protein 2) (TRIP-2)	Med1 Crsp210 Drip205 Pbp Pparbp Trap220 Trip2	1575
Q9DCS3	reviewed	Enoyl-[acyl-carrier-protein] reductase, mitochondrial (EC 1.3.1.104) (2-enoyl thioester reductase) (Nuclear receptor-binding factor 1) (NRBF-1)	Mecr Nrbf1	373
Q9Z2D6	reviewed	Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2)	Mecp2	484
P14404	reviewed	Histone-lysine N-methyltransferase MECOM (EC 2.1.1.-) (Ecotropic virus integration site 1 protein) (EVI-1) (MDS1 and EVI1 complex locus protein) (Myelodysplasia syndrome 1 protein homolog)	Mecom Evi1 Mds1 Prdm3	1232
Q8K0P3	reviewed	MTOR-associated protein MEAK7 (MEAK7) (TBC/LysM-associated domain-containing protein 1) (TLD domain-containing protein 1)	Meak7 Kiaa1609 Tldc1	455
Q2VPQ9	reviewed	Chromatin modification-related protein MEAF6 (MYST/Esa1-associated factor 6) (Esa1-associated factor 6 homolog) (Protein EAF6 homolog)	Meaf6	191
Q64327	reviewed	Male-enhanced antigen 1 (MEA-1)	Mea1 Mea	174
Q8BMF3	reviewed	NADP-dependent malic enzyme, mitochondrial (NADP-ME) (EC 1.1.1.40) (Malic enzyme 3)	Me3	604
Q99KE1	reviewed	NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38) (Malic enzyme 2)	Me2	589
P06801	reviewed	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	Me1 Mod-1 Mod1	572
Q9D967	reviewed	Magnesium-dependent phosphatase 1 (MDP-1) (EC 3.1.3.-) (EC 3.1.3.48)	Mdp1	164
O35618	reviewed	Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4)	Mdm4 Mdmx	489
P23804	reviewed	E3 ubiquitin-protein ligase Mdm2 (EC 2.3.2.27) (Double minute 2 protein) (Oncoprotein Mdm2) (RING-type E3 ubiquitin transferase Mdm2) (p53-binding protein Mdm2)	Mdm2	489
Q9D067	reviewed	Nuclear protein MDM1 (Mdm4 transformed 3T3 cell double minute 1 protein) (Mouse double minute 1)	Mdm1 Mdm-1	708
P12025	reviewed	Midkine (MK) (Retanoic acid-responsive protein) (Retinoic acid-induced differentiation factor)	Mdk Mk	140
P08249	reviewed	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	Mdh2 Mor1	338
Q5F204	reviewed	Putative malate dehydrogenase 1B (EC 1.1.1.-)	Mdh1b	500
P14152	reviewed	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase)	Mdh1 Mor2	334
P60755	reviewed	MAM domain-containing glycosylphosphatidylinositol anchor protein 2 (MAM domain-containing protein 1)	Mdga2 Mamdc1	949
Q0PMG2	reviewed	MAM domain-containing glycosylphosphatidylinositol anchor protein 1	Mdga1	956
Q8BX65	reviewed	MyoD family inhibitor domain-containing protein (I-mfa domain-containing protein) (Kidney cell line-derived transcript 1)	Mdfic Kdt1	247
P70331	reviewed	MyoD family inhibitor (Myogenic repressor I-mf)	Mdfi	251
Q5PSV9	reviewed	Mediator of DNA damage checkpoint protein 1	Mdc1 Kiaa0170	1707
Q9CXD6	reviewed	Mitochondrial calcium uniporter regulator 1 (MCU regulator 1) (Coiled-coil domain-containing protein 90A, mitochondrial)	Mcur1 Ccdc90a	340
Q810S1	reviewed	Calcium uniporter regulatory subunit MCUb, mitochondrial (MCUb) (Coiled-coil domain-containing protein 109B)	Mcub Ccdc109b	345
Q3UMR5	reviewed	Calcium uniporter protein, mitochondrial	Mcu	350
Q9CQ21	reviewed	Malignant T-cell-amplified sequence 2 (MCT-2) (Multiple copies T-cell malignancies 2)	Mcts2	181
Q9DB27	reviewed	Malignant T-cell-amplified sequence 1 (MCT-1) (Multiple copies T-cell malignancies 1)	Mcts1	181
Q5RJH2	reviewed	Multiple C2 and transmembrane domain-containing protein 2	Mctp2 Gm489	878
E9PV86	reviewed	Multiple C2 and transmembrane domain-containing protein 1	Mctp1	951
Q99L90	reviewed	Microspherule protein 1 (58 kDa microspherule protein)	Mcrs1 Msp58	462
Q9CQB2	reviewed	MAPK regulated corepressor interacting protein 2 (Protein FAM195A)	Mcrip2 Fam195a	160
Q3UGS4	reviewed	Mapk-regulated corepressor-interacting protein 1 (Protein FAM195B)	Mcrip1 Fam195b	97
Q00356	reviewed	Mast cell protease-like protein (EC 3.4.21.-)	Mcptl	246
O35164	reviewed	Mast cell protease 9 (mMCP-9) (EC 3.4.21.-)	Mcpt9	246
P43430	reviewed	Mast cell protease 8 (mMCP-8) (EC 3.4.21.-)	Mcpt8	247
P21812	reviewed	Mast cell protease 4 (mMCP-4) (EC 3.4.21.-) (MSMCP) (Myonase) (Serosal mast cell protease)	Mcpt4	246
P21843	reviewed	Mast cell protease 3 (mMCP-3) (EC 3.4.21.-) (Fragment)	Mcpt3	21
P15119	reviewed	Mast cell protease 2 (mMCP-2) (EC 3.4.21.-)	Mcpt2	244
P11034	reviewed	Mast cell protease 1 (mMCP-1) (EC 3.4.21.-)	Mcpt1	246
Q7TT79	reviewed	Microcephalin	Mcph1	822
Q8R4F0	reviewed	Mucolipin-3 (Transient receptor potential channel mucolipin 3) (TRPML3)	Mcoln3	553
Q8K595	reviewed	Mucolipin-2 (Transient receptor potential channel mucolipin 2) (TRPML2)	Mcoln2	566
Q99J21	reviewed	Mucolipin-1 (Mucolipidin) (Transient receptor potential-mucolipin 1) (TRPML1)	Mcoln1	580
E9Q956	reviewed	Minichromosome maintenance domain-containing protein 2 (MCM domain-containing protein 2)	Mcmdc2	681
Q8R3C0	reviewed	Mini-chromosome maintenance complex-binding protein (MCM-BP) (MCM-binding protein)	Mcmbp	642
Q2KHI9	reviewed	DNA helicase MCM9 (EC 3.6.4.12) (Mini-chromosome maintenance deficient domain-containing protein 1) (Minichromosome maintenance 9)	Mcm9 Mcmdc1	1134
Q9CWV1	reviewed	DNA helicase MCM8 (EC 3.6.4.12) (Minichromosome maintenance 8)	Mcm8	833
Q61881	reviewed	DNA replication licensing factor MCM7 (EC 3.6.4.12) (CDC47 homolog)	Mcm7 Cdc47 Mcmd7	719
P97311	reviewed	DNA replication licensing factor MCM6 (EC 3.6.4.12) (Mis5 homolog)	Mcm6 Mcmd6 Mis5	821
P49718	reviewed	DNA replication licensing factor MCM5 (EC 3.6.4.12) (CDC46 homolog) (P1-CDC46)	Mcm5 Cdc46 Mcmd5	734
P49717	reviewed	DNA replication licensing factor MCM4 (EC 3.6.4.12) (CDC21 homolog) (P1-CDC21)	Mcm4 Cdc21 Mcmd4	862
Q9WUU9	reviewed	Germinal-center associated nuclear protein (GANP) (EC 2.3.1.48) (GC-associated DNA primase)	Mcm3ap Ganp Map80	1971
P25206	reviewed	DNA replication licensing factor MCM3 (EC 3.6.4.12) (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3)	Mcm3 Mcmd Mcmd3	812
P97310	reviewed	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28)	Mcm2 Bm28 Cdcl1 Kiaa0030 Mcmd2	904
Q0VBD2	reviewed	Protein MCM10 homolog	Mcm10	885
P97287	reviewed	Induced myeloid leukemia cell differentiation protein Mcl-1 homolog (Bcl-2-related protein EAT/mcl1)	Mcl1	331
Q3UZ45	reviewed	Multicilin (Multiciliate differentiation and DNA synthesis-associated cell cycle protein) (McIdas protein) (Protein Idas)	Mcidas Gm6320 Idas Mci Mcin	379
Q8JZL2	reviewed	Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCH-R1) (MCHR-1) (G-protein coupled receptor 24) (MCH-1R) (MCH1R) (MCHR) (SLC-1) (Somatostatin receptor-like protein)	Mchr1 Gpr24 Slc1	353
Q8K5B2	reviewed	Multiple coagulation factor deficiency protein 2 homolog (Neural stem cell-derived neuronal survival protein)	Mcfd2 Sdnsf	145
Q64096	reviewed	Guanine nucleotide exchange factor DBS (DBL's big sister) (MCF2-transforming sequence-like protein)	Mcf2l Dbs	1149
Q9D8U6	reviewed	Mast cell-expressed membrane protein 1	Mcemp1	183
Q9D1I5	reviewed	Methylmalonyl-CoA epimerase, mitochondrial (EC 5.1.99.1) (DL-methylmalonyl-CoA racemase)	Mcee	178
Q3ULD5	reviewed	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (MCCase subunit beta) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 2) (3-methylcrotonyl-CoA carboxylase non-biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta)	Mccc2	563
Q99MR8	reviewed	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA carboxylase biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)	Mccc1 Mcca	717
Q8R3F5	reviewed	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial (MCT) (EC 2.3.1.39) (Mitochondrial malonyltransferase) ([Acyl-carrier-protein] malonyltransferase)	Mcat Mt	381
Q8R2Y2	reviewed	Cell surface glycoprotein MUC18 (Gicerin) (Melanoma cell adhesion molecule) (Melanoma-associated antigen MUC18) (CD antigen CD146)	Mcam Muc18	648
P41149	reviewed	Melanocortin receptor 5 (MC5-R)	Mc5r	325
P56450	reviewed	Melanocortin receptor 4 (MC4-R)	Mc4r	332
P33033	reviewed	Melanocortin receptor 3 (MC3-R)	Mc3r	323
Q64326	reviewed	Adrenocorticotropic hormone receptor (ACTH receptor) (ACTH-R) (Adrenocorticotropin receptor) (Melanocortin receptor 2) (MC2-R)	Mc2r Acthr	296
Q01727	reviewed	Melanocyte-stimulating hormone receptor (MSH-R) (Melanocortin receptor 1) (MC1-R)	Mc1r Msh-r	315
Q8CHX6	reviewed	Membrane-bound transcription factor site-2 protease (EC 3.4.24.85) (Endopeptidase S2P)	Mbtps2	515
Q9WTZ2	reviewed	Membrane-bound transcription factor site-1 protease (EC 3.4.21.112) (Endopeptidase S1P) (Sterol-regulated luminal protease) (Subtilisin/kexin isozyme 1) (SKI-1)	Mbtps1 S1p Ski1	1052
Q6P5G3	reviewed	MBT domain-containing protein 1	Mbtd1	631
P04370	reviewed	Myelin basic protein (MBP) (Myelin A1 protein)	Mbp Shi	250
Q8CHK3	reviewed	Lysophospholipid acyltransferase 7 (LPLAT 7) (EC 2.3.1.-) (1-acylglycerophosphatidylinositol O-acyltransferase) (EC 2.3.1.n4) (Bladder and breast carcinoma-overexpressed gene 1 protein) (Leukocyte receptor cluster member 4) (Lysophosphatidylinositol acyltransferase 1) (LPIAT1) (Membrane-bound O-acyltransferase domain-containing protein 7) (O-acyltransferase domain-containing protein 7) (m-mboa-7)	Mboat7 Bb1 Leng4 Lpiat1 Oact7	473
